1	NF	9
1	NF	8
1	NF	12
1	NF	10
1	NF	7
1	NF	10
1	NF	9
1	NF	11
1	NF	8
1	NF	10
1	NF	8
1	NF	10
1	NF	8
1	NF	11
1	NF	10
1	FP	12
1	FP	7
1	FP	14
1	FP	4
1	FP	8
1	FP	11
1	FP	16
1	FP	17
1	FP	5
1	FP	6
1	FP	9
1	FP	6
1	FP	6
1	FP	7
1	FP	16
1	FA	8
1	FA	8
1	FA	9
1	FA	1
1	FA	9
1	FA	7
1	FA	16
1	FA	19
1	FA	1
1	FA	1
1	FA	22
1	FA	12
1	FA	18
1	FA	8
1	FA	10
2	NF	27
2	NF	34
2	NF	19
2	NF	20
2	NF	56
2	NF	35
2	NF	23
2	NF	37
2	NF	4
2	NF	30
2	NF	4
2	NF	42
2	NF	34
2	NF	19
2	NF	49
2	FP	48
2	FP	29
2	FP	34
2	FP	6
2	FP	18
2	FP	63
2	FP	9
2	FP	54
2	FP	28
2	FP	71
2	FP	60
2	FP	54
2	FP	51
2	FP	25
2	FP	49
2	FA	34
2	FA	65
2	FA	55
2	FA	33
2	FA	42
2	FA	54
2	FA	21
2	FA	44
2	FA	61
2	FA	38
2	FA	75
2	FA	61
2	FA	51
2	FA	32
2	FA	47
3	NF	15
3	NF	2
3	NF	2
3	NF	14
3	NF	5
3	NF	0
3	NF	16
3	NF	14
3	NF	9
3	NF	17
3	NF	15
3	NF	9
3	NF	3
3	NF	15
3	NF	13
3	FP	7
3	FP	0
3	FP	6
3	FP	0
3	FP	12
3	FP	17
3	FP	1
3	FP	11
3	FP	4
3	FP	4
3	FP	3
3	FP	5
3	FP	16
3	FP	5
3	FP	11
3	FA	3
3	FA	2
3	FA	0
3	FA	0
3	FA	6
3	FA	2
3	FA	0
3	FA	6
3	FA	4
3	FA	1
3	FA	0
3	FA	0
3	FA	6
3	FA	2
3	FA	3
